Date,USD,EUR,JPY,GBP,AUD,CAD,NZD,SEK,NOK,VIX,USDi,NZDi,GBPi,NOKi,JPYi,CADi,AUDi,CHFi,SEKi,EURi
2003-09-30,1.3208,1.538732,0.0118531813694696,2.1951696,0.8977477599999999,0.9778633301251204,0.7858759999999999,0.1704214084797811,0.1871961676375129,22.72,1.08,5.15,3.6967,2.81,0.09,2.712857,4.91,0.125374,2.71,2.1473
2003-10-31,1.3382,1.55351638,0.0121544050862851,2.26905192,0.94704414,1.01417203486169,0.8187107600000001,0.1712567187100077,0.1887180933577774,16.1,1.1,5.19,3.80338,2.86,0.09,2.695,4.97,0.130071,2.73,2.1436
2003-11-30,1.2917,1.54939415,0.0117931160412672,2.22417823,0.93467412,0.9956833423263702,0.82604215,0.1710634353065819,0.1892878077373974,16.32,1.11,5.37,3.98043,2.89,0.08,2.76,5.31,0.149284,2.72,2.159
2003-12-31,1.238,1.5595086,0.0115560533930738,2.2088396,0.930976,0.9579818927493616,0.8117565999999999,0.1720639332870048,0.1857185718571857,18.31,1.1,5.32,4.01864,2.64,0.1,2.707143,5.47,0.127889,2.7,2.1463
2004-01-31,1.2593,1.5680803600000002,0.0118981481481481,2.29381495,0.96021625,0.94934036939314,0.84436065,0.1699001618996222,0.1794871794871795,16.63,1.06,5.35,4.05531,2.26,0.09,2.508095,5.55,0.119652,2.6,2.0895
2004-02-29,1.268,1.5775188,0.0116053450485081,2.35531,0.9785156,0.9459157030958596,0.8688336000000001,0.1705906094443697,0.1799347239960267,14.55,1.05,5.59,4.16654,2.01,0.09,2.323,5.57,0.155258,2.46,2.0705
2004-03-31,1.2677,1.55825684,0.0121683624496064,2.332568,0.9659874,0.967709923664122,0.8430205000000001,0.1679072847682119,0.1847959183673469,16.74,1.05,5.54,4.29673,1.84,0.08,2.159565,5.51,0.155299,2.36,2.0288
2004-04-30,1.2984,1.554834,0.0117640663223702,2.30388096,0.9361464,0.9469768798774708,0.81046128,0.169892051030422,0.1889268825027282,17.19,1.08,5.59,4.39472,1.97,0.08,2.068571,5.54,0.186379,2.02,2.0488
2004-05-31,1.2533,1.53115661,0.0113750226901434,2.2972989,0.89460554,0.917093516756915,0.78769905,0.1680499872618297,0.1863476864517664,15.5,1.2,5.9,4.52872,1.99,0.08,2.0675,5.51,0.179594,1.99,2.0859
2004-06-30,1.252,1.5248108,0.0114411039020378,2.2693752,0.8703904,0.9338405310658612,0.7915144,0.1663787375415282,0.1804554626693571,14.34,1.46,6.07,4.78974,2.03,0.09,2.101818,5.49,0.416011,1.98,2.1127
2004-07-31,1.2796,1.53961472,0.0114875662088158,2.32669668,0.9001986000000001,0.9623947051744888,0.8138256,0.1666037367358896,0.1825652732201455,15.32,1.57,6.25,4.85702,2.02,0.09,2.105238,5.46,0.45557,1.99,2.116
2004-08-31,1.2641,1.54005303,0.011597247706422,2.27929871,0.8938451099999999,0.9601245632690264,0.82975524,0.1687266417512012,0.1836073669532884,15.29,1.68,6.44,4.96284,2.02,0.09,2.145238,5.44,0.540374,1.99,2.1143
2004-09-30,1.2471,1.5485240700000005,0.0113166969147005,2.2560039,0.9033992400000002,0.9860056925996208,0.8424160500000001,0.1710934284538345,0.1853872454288687,13.34,1.86,6.64,4.9469,1.96,0.09,2.412857,5.42,0.608337,2.0,2.1186
2004-10-31,1.1988,1.5279904800000002,0.0113051678611844,2.1991986000000003,0.8952638400000001,0.9818985993938898,0.81925992,0.1689069236621861,0.1875821493396758,16.27,2.04,6.75,4.90071,2.0,0.09,2.575,5.41,0.63502,1.99,2.1473
2004-11-30,1.1421,1.51431039,0.0110840450310558,2.17832733,0.8820438299999999,0.9595866240967904,0.81580203,0.1695441117527426,0.1860370412601195,13.24,2.26,6.72,4.88359,1.99,0.09,2.703809,5.43,0.646169,1.99,2.1703
2004-12-31,1.1412,1.54495656,0.0111141410206466,2.1865392,0.8907066,0.9483131128469336,0.82200636,0.1711278060191641,0.1877158930157581,13.29,2.45,6.71,4.87103,1.99,0.1,2.571905,5.41,0.604167,2.0,2.1732
2005-01-31,1.1877,1.54982973,0.0114698213423466,2.2388145,0.92153643,0.9581316553727008,0.8446922400000001,0.1702088020751228,0.1868686868686868,12.82,2.61,6.76,4.87316,1.96,0.1,2.564,5.42,0.665596,2.0,2.1454
2005-02-28,1.1585,1.5377929,0.0111127098321342,2.2299966500000004,0.919849,0.942252948352989,0.8443148,0.1696814353716587,0.1868277185569836,12.08,2.77,6.83,4.89069,1.92,0.1,2.5825,5.63,0.685385,1.97,2.1383
2005-03-31,1.1952,1.55005488,0.011147174034695,2.25749376,0.92377008,0.9882586406482552,0.85169952,0.1691959229898074,0.1883658255977053,14.02,2.97,6.99,4.98736,2.02,0.08,2.625909,5.81,0.686455,1.97,2.1372
